"Date and Time","Time (seconds)","60 deg N day90 lock (lx)"
"2021-03-13 23:16:53",130333.0,3.5227
"2021-03-13 23:21:54",130634.0,3.5227
"2021-03-13 23:26:55",130935.0,3.5227
"2021-03-13 23:31:56",131236.0,3.5227
"2021-03-13 23:36:57",131537.0,3.5227
"2021-03-13 23:41:58",131838.0,3.5227
"2021-03-13 23:46:59",132139.0,3.5227
"2021-03-13 23:52:00",132440.0,3.5227
"2021-03-13 23:57:01",132741.0,3.5227
"2021-03-14 00:02:02",133042.0,3.5227
"2021-03-14 00:07:03",133343.0,3.5227
"2021-03-14 00:12:04",133644.0,3.5227
"2021-03-14 00:17:05",133945.0,3.5227
"2021-03-14 00:22:06",134246.0,3.5227
"2021-03-14 00:27:07",134547.0,3.5227
"2021-03-14 00:32:08",134848.0,3.5227
"2021-03-14 00:37:09",135149.0,3.5227
"2021-03-14 00:42:10",135450.0,3.5227
"2021-03-14 00:47:11",135751.0,3.5227
"2021-03-14 00:52:12",136052.0,3.5227
"2021-03-14 00:57:13",136353.0,3.5227
"2021-03-14 01:02:14",136654.0,3.5227
"2021-03-14 01:07:15",136955.0,3.5227
"2021-03-14 01:12:16",137256.0,3.5227
"2021-03-14 01:17:17",137557.0,3.5227
"2021-03-14 01:22:18",137858.0,3.5227
"2021-03-14 01:27:19",138159.0,3.5227
"2021-03-14 01:32:20",138460.0,3.5227
"2021-03-14 01:37:21",138761.0,3.5227
"2021-03-14 01:42:22",139062.0,3.5227
"2021-03-14 01:47:23",139363.0,3.5227
"2021-03-14 01:52:24",139664.0,3.5227
"2021-03-14 01:57:25",139965.0,3.5227
"2021-03-14 02:02:26",140266.0,3.5227
"2021-03-14 02:07:27",140567.0,3.5227
"2021-03-14 02:12:28",140868.0,3.5227
"2021-03-14 02:17:29",141169.0,3.5227
"2021-03-14 02:22:30",141470.0,3.5227
"2021-03-14 02:27:31",141771.0,3.5227
"2021-03-14 02:32:32",142072.0,3.5227
"2021-03-14 02:37:33",142373.0,3.5227
"2021-03-14 02:42:34",142674.0,3.5227
"2021-03-14 02:47:35",142975.0,3.5227
"2021-03-14 02:52:36",143276.0,3.5227
"2021-03-14 02:57:37",143577.0,3.5227
"2021-03-14 03:02:38",143878.0,3.6847
"2021-03-14 03:07:39",144179.0,3.8542
"2021-03-14 03:12:40",144480.0,4.0315
"2021-03-14 03:17:41",144781.0,4.0315
"2021-03-14 03:22:42",145082.0,4.4109
"2021-03-14 03:27:43",145383.0,4.8261
"2021-03-14 03:32:44",145684.0,4.8261
"2021-03-14 03:37:45",145985.0,5.7772
"2021-03-14 03:42:46",146286.0,6.3209
"2021-03-14 03:47:47",146587.0,6.6117
"2021-03-14 03:52:48",146888.0,7.5667
"2021-03-14 03:57:49",147189.0,9.9105
"2021-03-14 04:02:50",147490.0,9.9105
"2021-03-14 04:07:51",147791.0,12.4094
"2021-03-14 04:12:52",148092.0,16.2531
"2021-03-14 04:17:53",148393.0,20.3514
"2021-03-14 04:22:54",148694.0,20.3514
"2021-03-14 04:27:55",148995.0,24.3623
"2021-03-14 04:32:56",149296.0,29.1638
"2021-03-14 04:37:57",149597.0,29.1638
"2021-03-14 04:42:58",149898.0,34.9115
"2021-03-14 04:47:59",150199.0,41.7921
"2021-03-14 04:53:00",150500.0,41.7921
"2021-03-14 04:58:01",150801.0,41.7921
"2021-03-14 05:03:02",151102.0,47.8286
"2021-03-14 05:08:03",151403.0,54.7370
"2021-03-14 05:13:04",151704.0,54.7370
"2021-03-14 05:18:05",152005.0,68.5390
"2021-03-14 05:23:06",152306.0,82.0470
"2021-03-14 05:28:07",152607.0,82.0470
"2021-03-14 05:33:08",152908.0,98.2172
"2021-03-14 05:38:09",153209.0,112.4039
"2021-03-14 05:43:10",153510.0,128.6397
"2021-03-14 05:48:11",153811.0,128.6397
"2021-03-14 05:53:12",154112.0,147.2207
"2021-03-14 05:58:13",154413.0,161.0762
"2021-03-14 06:03:14",154714.0,168.4855
"2021-03-14 06:08:15",155015.0,184.3423
"2021-03-14 06:13:16",155316.0,201.6915
"2021-03-14 06:18:17",155617.0,201.6915
"2021-03-14 06:23:18",155918.0,220.6734
"2021-03-14 06:28:19",156219.0,241.4418
"2021-03-14 06:33:20",156520.0,241.4418
"2021-03-14 06:38:21",156821.0,252.5479
"2021-03-14 06:43:22",157122.0,276.3161
"2021-03-14 06:48:23",157423.0,289.0264
"2021-03-14 06:53:24",157724.0,289.0264
"2021-03-14 06:58:25",158025.0,289.0264
"2021-03-14 07:03:26",158326.0,289.0264
"2021-03-14 07:08:27",158627.0,289.0264
"2021-03-14 07:13:28",158928.0,289.0264
"2021-03-14 07:18:29",159229.0,289.0264
"2021-03-14 07:23:30",159530.0,289.0264
"2021-03-14 07:28:31",159831.0,289.0264
"2021-03-14 07:33:32",160132.0,289.0264
"2021-03-14 07:38:33",160433.0,289.0264
"2021-03-14 07:43:34",160734.0,289.0264
"2021-03-14 07:48:35",161035.0,289.0264
"2021-03-14 07:53:36",161336.0,289.0264
"2021-03-14 07:58:37",161637.0,289.0264
"2021-03-14 08:03:38",161938.0,289.0264
"2021-03-14 08:08:39",162239.0,289.0264
"2021-03-14 08:13:40",162540.0,289.0264
"2021-03-14 08:18:41",162841.0,289.0264
"2021-03-14 08:23:42",163142.0,289.0264
"2021-03-14 08:28:43",163443.0,289.0264
"2021-03-14 08:33:44",163744.0,289.0264
"2021-03-14 08:38:45",164045.0,289.0264
"2021-03-14 08:43:46",164346.0,289.0264
"2021-03-14 08:48:47",164647.0,289.0264
"2021-03-14 08:53:48",164948.0,302.3213
"2021-03-14 08:58:49",165249.0,289.0264
"2021-03-14 09:03:50",165550.0,289.0264
"2021-03-14 09:08:51",165851.0,302.3213
"2021-03-14 09:13:52",166152.0,289.0264
"2021-03-14 09:18:53",166453.0,289.0264
"2021-03-14 09:23:54",166754.0,289.0264
"2021-03-14 09:28:55",167055.0,289.0264
"2021-03-14 09:33:56",167356.0,289.0264
"2021-03-14 09:38:57",167657.0,289.0264
"2021-03-14 09:43:58",167958.0,289.0264
"2021-03-14 09:48:59",168259.0,289.0264
"2021-03-14 09:54:00",168560.0,289.0264
"2021-03-14 09:59:01",168861.0,289.0264
"2021-03-14 10:04:02",169162.0,289.0264
"2021-03-14 10:09:03",169463.0,289.0264
"2021-03-14 10:14:04",169764.0,289.0264
"2021-03-14 10:19:05",170065.0,289.0264
"2021-03-14 10:24:06",170366.0,289.0264
