"Date and Time","Time (seconds)","iSBJORN19/3-19/4 (lx)"
"2021-03-24 04:11:03",666000.0,192.8219
"2021-03-24 04:41:03",667800.0,220.6734
"2021-03-24 05:11:03",669600.0,220.6734
"2021-03-24 05:41:03",671400.0,192.8219
"2021-03-24 06:11:03",673200.0,192.8219
"2021-03-24 06:41:03",675000.0,192.8219
"2021-03-24 07:11:03",676800.0,220.6734
"2021-03-24 07:41:03",678600.0,210.9691
"2021-03-24 08:11:03",680400.0,192.8219
"2021-03-24 08:41:03",682200.0,230.8242
"2021-03-24 09:11:03",684000.0,220.6734
"2021-03-24 09:41:03",685800.0,192.8219
"2021-03-24 10:11:03",687600.0,201.6915
"2021-03-24 10:41:03",689400.0,220.6734
"2021-03-24 11:11:03",691200.0,220.6734
"2021-03-24 11:41:03",693000.0,210.9691
"2021-03-24 12:11:03",694800.0,192.8219
"2021-03-24 12:41:03",696600.0,220.6734
"2021-03-24 13:11:03",698400.0,220.6734
"2021-03-24 13:41:03",700200.0,210.9691
"2021-03-24 14:11:03",702000.0,210.9691
"2021-03-24 14:41:03",703800.0,192.8219
"2021-03-24 15:11:03",705600.0,220.6734
"2021-03-24 15:41:03",707400.0,210.9691
"2021-03-24 16:11:03",709200.0,220.6734
"2021-03-24 16:41:03",711000.0,201.6915
"2021-03-24 17:11:03",712800.0,192.8219
"2021-03-24 17:41:03",714600.0,201.6915
"2021-03-24 18:11:03",716400.0,201.6915
"2021-03-24 18:41:03",718200.0,220.6734
"2021-03-24 19:11:03",720000.0,4.8261
"2021-03-24 19:41:03",721800.0,4.8261
"2021-03-24 20:11:03",723600.0,4.8261
"2021-03-24 20:41:03",725400.0,4.8261
"2021-03-24 21:11:03",727200.0,4.8261
"2021-03-24 21:41:03",729000.0,4.8261
"2021-03-24 22:11:03",730800.0,4.8261
"2021-03-24 22:41:03",732600.0,4.8261
"2021-03-24 23:11:03",734400.0,4.8261
"2021-03-24 23:41:03",736200.0,4.8261
"2021-03-25 00:11:03",738000.0,4.8261
"2021-03-25 00:41:03",739800.0,4.8261
"2021-03-25 01:11:03",741600.0,4.8261
"2021-03-25 01:41:03",743400.0,4.8261
"2021-03-25 02:11:03",745200.0,4.8261
"2021-03-25 02:41:03",747000.0,4.8261
"2021-03-25 03:11:03",748800.0,230.8242
"2021-03-25 03:41:03",750600.0,201.6915
"2021-03-25 04:11:03",752400.0,192.8219
"2021-03-25 04:41:03",754200.0,220.6734
"2021-03-25 05:11:03",756000.0,230.8242
"2021-03-25 05:41:03",757800.0,201.6915
"2021-03-25 06:11:03",759600.0,192.8219
"2021-03-25 06:41:03",761400.0,210.9691
"2021-03-25 07:11:03",763200.0,184.3423
"2021-03-25 07:41:03",765000.0,210.9691
"2021-03-25 08:11:03",766800.0,201.6915
"2021-03-25 08:41:03",768600.0,184.3423
"2021-03-25 09:11:03",770400.0,220.6734
"2021-03-25 09:41:03",772200.0,184.3423
"2021-03-25 10:11:03",774000.0,201.6915
"2021-03-25 10:41:03",775800.0,220.6734
"2021-03-25 11:11:03",777600.0,192.8219
"2021-03-25 11:41:03",779400.0,192.8219
"2021-03-25 12:11:03",781200.0,210.9691
"2021-03-25 12:41:03",783000.0,192.8219
"2021-03-25 13:11:03",784800.0,192.8219
"2021-03-25 13:41:03",786600.0,201.6915
"2021-03-25 14:11:03",788400.0,192.8219
"2021-03-25 14:41:03",790200.0,192.8219
"2021-03-25 15:11:03",792000.0,210.9691
"2021-03-25 15:41:03",793800.0,210.9691
"2021-03-25 16:11:03",795600.0,210.9691
"2021-03-25 16:41:03",797400.0,192.8219
"2021-03-25 17:11:03",799200.0,201.6915
"2021-03-25 17:41:03",801000.0,210.9691
"2021-03-25 18:11:03",802800.0,192.8219
"2021-03-25 18:41:03",804600.0,210.9691
"2021-03-25 19:11:03",806400.0,4.8261
"2021-03-25 19:41:03",808200.0,4.8261
"2021-03-25 20:11:03",810000.0,4.6138
"2021-03-25 20:41:03",811800.0,4.8261
"2021-03-25 21:11:03",813600.0,4.8261
"2021-03-25 21:41:03",815400.0,4.8261
"2021-03-25 22:11:03",817200.0,4.8261
"2021-03-25 22:41:03",819000.0,4.6138
"2021-03-25 23:11:03",820800.0,4.8261
"2021-03-25 23:41:03",822600.0,4.8261
"2021-03-26 00:11:03",824400.0,4.8261
"2021-03-26 00:41:03",826200.0,4.8261
"2021-03-26 01:11:03",828000.0,4.8261
"2021-03-26 01:41:03",829800.0,4.8261
"2021-03-26 02:11:03",831600.0,4.8261
"2021-03-26 02:41:03",833400.0,4.8261
"2021-03-26 03:11:03",835200.0,201.6915
"2021-03-26 03:41:03",837000.0,220.6734
"2021-03-26 04:11:03",838800.0,201.6915
"2021-03-26 04:41:03",840600.0,192.8219
"2021-03-26 05:11:03",842400.0,210.9691
"2021-03-26 05:41:03",844200.0,210.9691
"2021-03-26 06:11:03",846000.0,192.8219
"2021-03-26 06:41:03",847800.0,201.6915
"2021-03-26 07:11:03",849600.0,220.6734
"2021-03-26 07:41:03",851400.0,220.6734
"2021-03-26 08:11:03",853200.0,220.6734
"2021-03-26 08:41:03",855000.0,201.6915
"2021-03-26 09:11:03",856800.0,220.6734
"2021-03-26 09:41:03",858600.0,192.8219
"2021-03-26 10:11:03",860400.0,192.8219
"2021-03-26 10:41:03",862200.0,220.6734
