"datetime","BAT"
2021-07-28 15:54:02,11
2021-07-28 15:54:08,11
2021-07-28 15:54:19,11
2021-07-28 15:54:25,11
2021-07-28 15:54:42,11
2021-07-28 15:54:48,11
2021-07-28 15:54:59,11
2021-07-28 15:55:05,11
2021-07-28 15:55:11,11
2021-07-28 15:55:22,11
2021-07-28 15:55:28,11
2021-07-28 15:55:40,11
2021-07-28 15:55:45,11
2021-07-28 15:55:57,11
2021-07-28 15:56:02,11
2021-07-28 15:56:08,11
2021-07-28 15:56:20,11
2021-07-28 15:56:25,11
2021-07-28 15:56:31,11
2021-07-28 15:56:37,11
2021-07-28 15:56:43,11
2021-07-28 15:56:49,11
2021-07-28 15:56:54,11
2021-07-28 15:57:17,10.9
2021-07-28 15:57:23,11
2021-07-28 15:57:35,11
2021-07-28 15:57:40,11
2021-07-28 15:57:52,11
2021-07-28 15:57:58,11
2021-07-28 15:58:04,11
2021-07-28 15:58:16,11
2021-07-28 15:58:21,11
2021-07-28 15:58:50,11
2021-07-28 15:58:56,11
2021-07-28 15:59:02,11
2021-07-28 15:59:14,11.1
2021-07-28 15:59:19,11
2021-07-28 15:59:25,11
2021-07-28 15:59:30,11
2021-07-28 15:59:36,11
2021-07-28 15:59:42,11
2021-07-28 15:59:48,11
2021-07-28 16:00:05,11
2021-07-28 16:00:10,11
